gene_id	geneName	Chr	Start	End
maker-000039F-est_gff_StringTie-gene-10.0	zig-8_7	000039F	1689218	2350745
maker-000039F-est_gff_StringTie-gene-11.0	NA	000039F	2713831	2744458
maker-000039F-est_gff_StringTie-gene-14.0	zig-8_8	000039F	3216314	3508271
maker-000039F-est_gff_StringTie-gene-15.1	NA	000039F	3688492	3689243
maker-000039F-est_gff_StringTie-gene-18.1	zig-8	000039F	4176065	4473143
maker-000039F-est_gff_StringTie-gene-19.1	pnlip_7	000039F	4583896	4612836
maker-000039F-est_gff_StringTie-gene-20.1	pnliprp1_pnlip	000039F	4737258	4752270
maker-000039F-est_gff_StringTie-gene-20.2	pnlip_5	000039F	4781280	4794153
maker-000039F-est_gff_StringTie-gene-20.0	NA	000039F	4856018	4857922
maker-000039F-est_gff_StringTie-gene-20.3	NA	000039F	4864671	4865027
maker-000039F-est_gff_StringTie-gene-22.0	lac_11	000039F	4997455	5282804
evm-000039F-processed-gene-24.0	lac_4	000039F	5595186	5631502
maker-000039F-est_gff_StringTie-gene-24.0	NA	000039F	5689990	5769057
maker-000039F-augustus-gene-24.2	NA	000039F	5899083	5912150
maker-000039F-est_gff_StringTie-gene-26.1	lac_16	000039F	6046040	6318128
maker-000039F-est_gff_StringTie-gene-26.0	NA	000039F	6328891	6331478
maker-000039F-est_gff_StringTie-gene-29.2	leng9	000039F	7024531	7035768
maker-000039F-augustus-gene-29.3	dok6	000039F	7035978	7070165
maker-000039F-est_gff_StringTie-gene-29.1	NA	000039F	7107045	7115721
maker-000039F-est_gff_StringTie-gene-30.1	NA	000039F	7275243	7277272
maker-000039F-est_gff_StringTie-gene-30.0	NA	000039F	7312466	7312839
maker-000039F-est_gff_StringTie-gene-31.0	NA	000039F	7389773	7420285
augustus_masked-000039F-processed-gene-31.0	NA	000039F	7476308	7477033
augustus_masked-000039F-processed-gene-31.1	NA	000039F	7477384	7478139
augustus_masked-000039F-processed-gene-31.2	NA	000039F	7478560	7479471
augustus_masked-000039F-processed-gene-31.3	NA	000039F	7479582	7480049
augustus_masked-000039F-processed-gene-31.4	NA	000039F	7480079	7480507
augustus_masked-000039F-processed-gene-31.5	NA	000039F	7480633	7481223
maker-000039F-est_gff_StringTie-gene-32.1	unc93a_2	000039F	7517115	7597652
evm-000039F-processed-gene-32.9	NA	000039F	7605578	7629671
maker-000039F-est_gff_StringTie-gene-34.1	unc93a_7	000039F	7977583	8290244
maker-000039F-est_gff_StringTie-gene-34.2	NA	000039F	8309523	8315920
maker-000039F-est_gff_StringTie-gene-35.2	NA	000039F	8329894	8364856
maker-000039F-est_gff_StringTie-gene-35.4	ppm1d_2	000039F	8369761	8395234
maker-000039F-exonerate_protein2genome-gene-35.0	ran	000039F	8408573	8431080
augustus_masked-000039F-processed-gene-35.10	samm50a	000039F	8440481	8441848
maker-000039F-est_gff_StringTie-gene-35.3	NA	000039F	8447478	8481387
maker-000039F-est_gff_StringTie-gene-36.0	NA	000039F	8605534	8607484
maker-000039F-est_gff_StringTie-gene-37.0	NA	000039F	8941088	8978399
augustus_masked-000039F-processed-gene-39.2	kcnk13_2	000039F	9466718	9467116
augustus_masked-000579F-processed-gene-0.10	slc4a1ap	000579F	271	2238
maker-000579F-augustus-gene-0.6	NA	000579F	13962	22930
evm-000579F-processed-gene-0.0	zan_4	000579F	33635	162070
maker-000579F-est_gff_StringTie-gene-0.0	NA	000579F	109415	120208
maker-000579F-est_gff_StringTie-gene-0.3	NA	000579F	181260	201433
maker-000579F-est_gff_StringTie-gene-0.4	NA	000579F	214571	311595
maker-000579F-est_gff_StringTie-gene-0.1	btbd6_klhl6	000579F	248093	369357
evm-000371F-processed-gene-0.1	mepce	000371F	22086	29743
maker-000371F-est_gff_StringTie-gene-0.5	snap29	000371F	31408	59483
maker-000371F-exonerate_protein2genome-gene-0.1	aldh4a1	000371F	48462	148339
maker-000371F-exonerate_protein2genome-gene-0.2	mecom_2	000371F	151059	152771
maker-000371F-est_gff_StringTie-gene-1.1	hap2	000371F	288752	352628
maker-000371F-est_gff_StringTie-gene-1.0	NA	000371F	308220	371704
maker-000371F-est_gff_StringTie-gene-2.0	NA	000371F	429399	582788
maker-000371F-augustus-gene-2.0	NA	000371F	464799	497628
maker-000371F-augustus-gene-3.9	snb-1_vamp3_syb	000371F	614352	644412
maker-000371F-exonerate_protein2genome-gene-3.5	lzic	000371F	644447	656155
maker-000371F-exonerate_protein2genome-gene-3.6	gmps	000371F	684827	731321
maker-000371F-est_gff_StringTie-gene-3.4	rnft2	000371F	743327	786362
maker-000371F-est_gff_StringTie-gene-3.2	trappc5	000371F	800196	831801
maker-000371F-exonerate_protein2genome-gene-3.8	psma8_2	000371F	800409	801155
maker-000371F-augustus-gene-4.0	capsl_3	000371F	842438	894246
maker-000371F-augustus-gene-4.1	rfx3	000371F	916141	971055
evm-000371F-processed-gene-4.23	ptpn9	000371F	974090	1003570
maker-000371F-est_gff_StringTie-gene-4.8	esf2_abt1	000371F	1005687	1011456
evm-000371F-processed-gene-4.22	NA	000371F	1011295	1016693
maker-000371F-exonerate_protein2genome-gene-4.2	rab28	000371F	1050455	1070315
augustus_masked-000371F-processed-gene-4.12	NA	000371F	1075651	1076325
maker-000371F-exonerate_protein2genome-gene-4.3	ado	000371F	1104325	1105041
maker-000371F-est_gff_StringTie-gene-5.0	nkx6-2	000371F	1128922	1170549
maker-000371F-est_gff_StringTie-gene-6.0	cg4679	000371F	1441526	1502829
evm-000371F-processed-gene-6.14	zig-4	000371F	1523852	1597577
maker-000371F-est_gff_StringTie-gene-6.2	NA	000371F	1530142	1588822
evm-000371F-processed-gene-6.16	NA	000371F	1654942	1659711
maker-000371F-est_gff_StringTie-gene-6.3	prom1	000371F	1671038	1881746
maker-000662F-est_gff_StringTie-gene-0.3	NA	000662F	38845	87548
maker-000662F-augustus-gene-0.5	maoa_3	000662F	103519	120268
maker-000662F-augustus-gene-0.6	mao_maob	000662F	122186	178593
maker-000662F-augustus-gene-0.7	glipr2_5	000662F	191923	226842
maker-000059F-est_gff_StringTie-gene-2.0	rbfox3	000059F	176588	598114
maker-000059F-augustus-gene-2.7	NA	000059F	598015	598114
augustus_masked-000059F-processed-gene-3.0	pgbd4_27	000059F	818440	819462
maker-000059F-est_gff_StringTie-gene-4.0	NA	000059F	1089823	1090260
maker-000059F-est_gff_StringTie-gene-4.1	NA	000059F	1091288	1091853
maker-000059F-est_gff_StringTie-gene-8.0	ptpn4_2	000059F	1809022	1954509
maker-000059F-est_gff_StringTie-gene-8.1	cox16	000059F	1969866	1990757
augustus_masked-000059F-processed-gene-8.5	taf2	000059F	1999362	2003060
maker-000059F-est_gff_StringTie-gene-8.2	b-h1	000059F	2027936	2050587
maker-000059F-est_gff_StringTie-gene-9.1	esib	000059F	2069885	2100365
maker-000059F-augustus-gene-9.10	NA	000059F	2109599	2115461
maker-000059F-augustus-gene-9.11	tsen2	000059F	2125258	2145462
maker-000059F-est_gff_StringTie-gene-9.0	NA	000059F	2225131	2305625
maker-000059F-est_gff_StringTie-gene-10.0	abca5_2	000059F	2263501	2497382
evm-000059F-processed-gene-11.5	abca5	000059F	2517714	2753496
maker-000059F-est_gff_StringTie-gene-13.1	mlxip	000059F	3082637	3138893
evm-000059F-processed-gene-13.1	p2rx4_2	000059F	3139271	3176977
maker-000059F-exonerate_protein2genome-gene-13.5	rwdd4	000059F	3177100	3191369
evm-000059F-processed-gene-13.0	rfc5	000059F	3242630	3267878
augustus_masked-000059F-processed-gene-13.10	NA	000059F	3268651	3270591
evm-000059F-processed-gene-14.8	mmp17_2	000059F	3340341	3440686
maker-000059F-est_gff_StringTie-gene-14.1	bre1	000059F	3440746	3503467
maker-000059F-est_gff_StringTie-gene-15.0	esd_2	000059F	3504104	3543720
evm-000059F-processed-gene-15.11	hs6st3b	000059F	3554876	3560991
maker-000059F-est_gff_StringTie-gene-15.1	rz1b	000059F	3561220	3597333
maker-000059F-est_gff_StringTie-gene-15.2	chka	000059F	3637097	3722217
evm-000059F-processed-gene-16.10	zrc1	000059F	3731311	3770682
maker-000059F-est_gff_StringTie-gene-17.1	NA	000059F	3983837	4031040
maker-000059F-exonerate_protein2genome-gene-17.0	pax6	000059F	4051055	4114941
maker-000059F-augustus-gene-18.2	NA	000059F	4114811	4128738
maker-000059F-est_gff_StringTie-gene-18.0	anks1b	000059F	4346606	4479037
augustus_masked-000059F-processed-gene-19.2	NA	000059F	4505849	4506088
maker-000059F-augustus-gene-19.8	pax6_3	000059F	4506194	4598340
maker-000059F-est_gff_StringTie-gene-20.1	NA	000059F	4677343	4778683
maker-000059F-est_gff_StringTie-gene-19.1	NA	000059F	4712531	4714382
maker-000059F-est_gff_StringTie-gene-20.0	elf5_ehf	000059F	4732999	4889913
maker-000059F-est_gff_StringTie-gene-21.0	stx12	000059F	5012648	5051322
maker-000059F-est_gff_StringTie-gene-21.1	NA	000059F	5058744	5106848
maker-000059F-est_gff_StringTie-gene-22.0	NA	000059F	5207812	5273750
maker-000059F-augustus-gene-23.0	abcb1_abcb4	000059F	5369248	5447927
maker-000059F-exonerate_protein2genome-gene-23.3	abcb1_3	000059F	5525234	5624087
maker-000059F-est_gff_StringTie-gene-24.0	reeld1	000059F	5626830	5734992
augustus_masked-000059F-processed-gene-24.0	pabpc1_2	000059F	5693025	5693846
maker-000059F-est_gff_StringTie-gene-24.1	hps5	000059F	5795524	5870386
augustus_masked-000059F-processed-gene-26.0	NA	000059F	5867413	5886723
evm-000059F-processed-gene-26.11	tnt	000059F	5941684	5958485
maker-000059F-augustus-gene-26.17	slc6a7	000059F	6049550	6068941
maker-000059F-exonerate_protein2genome-gene-26.0	NA	000059F	6073786	6074193
augustus_masked-000059F-processed-gene-26.5	NA	000059F	6090306	6092345
maker-000059F-est_gff_StringTie-gene-25.0	NA	000059F	6096869	6107197
maker-000059F-augustus-gene-26.18	slc6a5_7	000059F	6122344	6174073
maker-000059F-augustus-gene-26.19	mylk_2	000059F	6182386	6227371
maker-000059F-est_gff_StringTie-gene-26.6	NA	000059F	6292773	6308577
maker-000059F-est_gff_StringTie-gene-27.0	rassf10	000059F	6372239	6472386
maker-000059F-est_gff_StringTie-gene-27.1	NA	000059F	6495170	6530480
maker-000059F-augustus-gene-28.0	NA	000059F	6647805	6652970
evm-000059F-processed-gene-29.0	NA	000059F	6666645	6687116
maker-000059F-est_gff_StringTie-gene-28.0	NA	000059F	6804457	6812892
maker-000059F-augustus-gene-29.11	NA	000059F	7025447	7105704
maker-000059F-est_gff_StringTie-gene-31.0	snx13_2	000059F	7454228	7504170
maker-000059F-exonerate_protein2genome-gene-34.1	NA	000059F	7958444	7959601
maker-000310F-est_gff_StringTie-gene-0.0	NA	000310F	23809	24553
maker-000310F-est_gff_StringTie-gene-0.1	wdr76_3	000310F	68421	152657
maker-000310F-est_gff_StringTie-gene-1.0	ears2_gltx	000310F	156586	196830
maker-000310F-est_gff_StringTie-gene-2.1	wdr76_2	000310F	253198	542932
maker-000310F-est_gff_StringTie-gene-3.1	fbxo30_slc39a14	000310F	541127	792651
evm-000310F-processed-gene-3.0	bbs2	000310F	591081	675537
evm-000310F-processed-gene-4.10	hsdl1	000310F	871247	903211
maker-000310F-est_gff_StringTie-gene-4.0	NA	000310F	919772	958003
maker-000310F-est_gff_StringTie-gene-4.3	tmco4	000310F	940957	1047587
evm-000310F-processed-gene-4.9	itpk1	000310F	1047564	1099808
maker-000310F-est_gff_StringTie-gene-5.1	esrrg	000310F	1131331	1230852
maker-000310F-est_gff_StringTie-gene-5.0	spas	000310F	1253467	1322340
evm-000310F-processed-gene-6.0	ilkap	000310F	1384896	1417608
augustus_masked-000310F-processed-gene-6.7	max	000310F	1428462	1440432
maker-000310F-est_gff_StringTie-gene-6.1	NA	000310F	1495006	1518658
maker-000310F-augustus-gene-6.4	ampd2_2	000310F	1526226	1556190
maker-000310F-est_gff_StringTie-gene-7.0	selenos	000310F	1561083	1601270
maker-000310F-est_gff_StringTie-gene-7.1	slc1a1	000310F	1617103	1763581
maker-000310F-exonerate_protein2genome-gene-8.0	osm-3	000310F	1782025	1817836
maker-000310F-augustus-gene-8.4	tf2-9_2	000310F	1941475	1961937
maker-000310F-exonerate_protein2genome-gene-8.1	dars	000310F	1978452	1999044
maker-000310F-est_gff_StringTie-gene-9.74	NA	000310F	2019316	2449403
maker-000310F-est_gff_StringTie-gene-9.73	NA	000310F	2175116	2176998
augustus_masked-000310F-processed-gene-9.89	alkbh2_250	000310F	2475422	2475877
maker-000001F-est_gff_StringTie-gene-1.0	NA	000001F	83612	226398
augustus_masked-000001F-processed-gene-4.7	NA	000001F	899757	905775
maker-000001F-augustus-gene-4.1	NA	000001F	912577	919050
maker-000001F-exonerate_protein2genome-gene-4.0	lypla2	000001F	945873	968965
maker-000001F-est_gff_StringTie-gene-4.3	NA	000001F	1039684	1092176
maker-000001F-est_gff_StringTie-gene-5.0	garem1	000001F	1074262	1131946
evm-000001F-processed-gene-5.0	tm9sf4	000001F	1154183	1236625
maker-000001F-exonerate_protein2genome-gene-5.5	NA	000001F	1295981	1305861
maker-000001F-est_gff_StringTie-gene-5.2	NA	000001F	1318556	1327377
maker-000001F-est_gff_StringTie-gene-6.0	cib1	000001F	1345246	1365943
maker-000001F-est_gff_StringTie-gene-6.2	twk-18_twk-7	000001F	1373264	1461945
augustus_masked-000001F-processed-gene-6.10	NA	000001F	1491486	1498409
maker-000001F-augustus-gene-6.1	NA	000001F	1501150	1501515
maker-000001F-exonerate_protein2genome-gene-6.4	pebp1_2	000001F	1530468	1539095
maker-000001F-est_gff_StringTie-gene-6.1	loco	000001F	1551054	1598099
maker-000001F-augustus-gene-7.0	adra2c	000001F	1741424	1817379
augustus_masked-000001F-processed-gene-8.4	NA	000001F	1859889	1876874
evm-000001F-processed-gene-8.12	NA	000001F	1885179	1886385
maker-000001F-est_gff_StringTie-gene-8.0	hcrtr1	000001F	1906441	1939672
maker-000001F-exonerate_protein2genome-gene-8.4	eif4e3	000001F	1952246	1978835
maker-000001F-est_gff_StringTie-gene-8.3	flower	000001F	2001128	2029989
maker-000001F-est_gff_StringTie-gene-8.1	taf10	000001F	2030749	2076241
maker-000001F-est_gff_StringTie-gene-9.0	mtnc_agap003331	000001F	2094691	2126882
maker-000001F-est_gff_StringTie-gene-9.1	glis2	000001F	2179220	2212390
maker-000001F-est_gff_StringTie-gene-9.2	nuak1_2	000001F	2217322	2315258
maker-000001F-exonerate_protein2genome-gene-10.3	bin1	000001F	2336474	2344746
maker-000001F-est_gff_StringTie-gene-10.1	NA	000001F	2355839	2361815
maker-000001F-est_gff_StringTie-gene-11.2	adgrl1_adgrl2	000001F	2489989	2605433
maker-000001F-est_gff_StringTie-gene-11.0	NA	000001F	2614117	2673488
maker-000001F-est_gff_StringTie-gene-11.3	NA	000001F	2642404	2642734
maker-000001F-est_gff_StringTie-gene-11.4	NA	000001F	2713664	2735218
maker-000001F-est_gff_StringTie-gene-11.1	diap2	000001F	2735746	2758336
maker-000001F-augustus-gene-11.8	NA	000001F	2772468	2773750
maker-000001F-est_gff_StringTie-gene-12.0	NA	000001F	2795514	2824001
maker-000001F-est_gff_StringTie-gene-12.1	NA	000001F	2851008	2930972
maker-000001F-est_gff_StringTie-gene-13.1	shank3_shank2	000001F	2981869	3217529
maker-000001F-est_gff_StringTie-gene-13.0	NA	000001F	3071105	3078142
evm-000001F-processed-gene-14.12	atg16l1_2	000001F	3265274	3392082
maker-000001F-est_gff_StringTie-gene-14.2	lap	000001F	3368114	3368967
maker-000001F-exonerate_protein2genome-gene-14.6	hcg	000001F	3400147	3407243
maker-000001F-exonerate_protein2genome-gene-14.7	hcd	000001F	3429164	3435051
maker-000001F-exonerate_protein2genome-gene-14.5	hca	000001F	3494609	3501207
maker-000001F-augustus-gene-15.3	NA	000001F	3513515	3529762
evm-000001F-processed-gene-15.0	pka-r2_2	000001F	3556193	3627114
maker-000001F-est_gff_StringTie-gene-16.0	NA	000001F	3627832	3842116
maker-000001F-est_gff_StringTie-gene-16.1	NA	000001F	3847424	3942037
maker-000001F-est_gff_StringTie-gene-17.2	gluclalpha_10	000001F	3959135	4062934
maker-000001F-est_gff_StringTie-gene-17.0	NA	000001F	4000052	4003117
maker-000001F-est_gff_StringTie-gene-17.1	ahi1	000001F	4066930	4169930
maker-000001F-est_gff_StringTie-gene-19.2	dst_2	000001F	4205383	4552702
maker-000001F-exonerate_protein2genome-gene-19.0	snrpa_snf_snrpb2	000001F	4604623	4625932
maker-000001F-est_gff_StringTie-gene-19.3	NA	000001F	4639429	4651471
maker-000001F-est_gff_StringTie-gene-19.5	NA	000001F	4653147	4662112
evm-000001F-processed-gene-20.12	tret1-2	000001F	4664741	4744061
evm-000001F-processed-gene-20.11	tret1_2	000001F	4769662	4787630
maker-000001F-augustus-gene-20.1	bab2	000001F	4795128	4866434
maker-000001F-est_gff_StringTie-gene-20.4	dipk2a_2	000001F	4867343	4887231
maker-000001F-est_gff_StringTie-gene-20.2	NA	000001F	4904960	4909151
maker-000001F-augustus-gene-21.1	NA	000001F	5020542	5068081
maker-000001F-exonerate_protein2genome-gene-21.0	rsu1	000001F	5131605	5164067
maker-000001F-augustus-gene-22.3	NA	000001F	5168661	5192680
maker-000001F-est_gff_StringTie-gene-22.1	znf512b	000001F	5253606	5256860
maker-000001F-est_gff_StringTie-gene-24.0	dner_2	000001F	5545389	5917455
evm-000001F-processed-gene-25.15	NA	000001F	5921463	5935823
maker-000001F-est_gff_StringTie-gene-25.0	NA	000001F	5940599	5950812
maker-000001F-est_gff_StringTie-gene-25.1	nek1_2	000001F	5966253	5981371
maker-000001F-est_gff_StringTie-gene-25.3	NA	000001F	5986493	6065349
maker-000001F-est_gff_StringTie-gene-25.2	nep-11_nep1	000001F	6014861	6076821
maker-000001F-est_gff_StringTie-gene-25.4	mmgt1	000001F	6089678	6112708
maker-000001F-est_gff_StringTie-gene-26.0	gnrhr_4	000001F	6155093	6226686
maker-000001F-est_gff_StringTie-gene-26.1	tmprss9	000001F	6247381	6283404
maker-000001F-augustus-gene-26.2	NA	000001F	6284613	6295762
evm-000001F-processed-gene-27.5	gk5	000001F	6409024	6481404
augustus_masked-000001F-processed-gene-28.3	NA	000001F	6513579	6514103
augustus_masked-000001F-processed-gene-28.4	NA	000001F	6514155	6514511
augustus_masked-000001F-processed-gene-28.5	NA	000001F	6514843	6515256
maker-000001F-est_gff_StringTie-gene-27.1	NA	000001F	6521936	6546706
maker-000001F-exonerate_protein2genome-gene-28.0	bche_2	000001F	6636445	6637911
evm-000001F-processed-gene-28.0	cyp18a1_8	000001F	6673726	6683442
maker-000001F-est_gff_StringTie-gene-28.3	lyrm2	000001F	6734819	6753350
maker-000001F-augustus-gene-29.9	sytl5	000001F	6755647	6833506
evm-000001F-processed-gene-29.0	rc3h2	000001F	6909205	7091118
augustus_masked-000001F-processed-gene-29.7	NA	000001F	7112054	7112614
maker-000001F-augustus-gene-31.7	hoxa1	000001F	7279358	7301141
augustus_masked-000001F-processed-gene-32.3	pb	000001F	7555522	7612282
maker-000001F-augustus-gene-32.1	hoxa2	000001F	7645754	7660404
maker-000001F-augustus-gene-33.1	NA	000001F	7817450	7880115
maker-000001F-augustus-gene-33.0	NA	000001F	7905008	7992611
evm-000001F-processed-gene-33.10	NA	000001F	7988212	7994002
maker-000001F-est_gff_StringTie-gene-33.2	NA	000001F	8030276	8030646
augustus_masked-000001F-processed-gene-33.9	NA	000001F	8030675	8050599
maker-000001F-augustus-gene-35.2	hoxb4a	000001F	8335469	8381755
maker-000001F-est_gff_StringTie-gene-35.1	NA	000001F	8381791	8407580
maker-000001F-augustus-gene-35.1	NA	000001F	8438313	8482993
augustus_masked-000001F-processed-gene-35.11	NA	000001F	8544922	8545155
maker-000001F-exonerate_protein2genome-gene-36.1	scr_hoxb5b	000001F	8688156	8728651
maker-000001F-est_gff_StringTie-gene-37.0	NA	000001F	8724414	8816116
maker-000001F-exonerate_protein2genome-gene-36.2	hoxb7-b	000001F	8772322	8780692
maker-000001F-est_gff_StringTie-gene-37.1	NA	000001F	8970030	8996580
maker-000001F-exonerate_protein2genome-gene-39.1	hoxb6b_hoxa7_hoxb7-a_hoxb6a_hoxb7	000001F	9241472	9443684
maker-000001F-augustus-gene-40.2	ubx_2	000001F	9449470	9706375
maker-000001F-est_gff_StringTie-gene-40.0	NA	000001F	9544259	9546282
maker-000001F-est_gff_StringTie-gene-40.1	NA	000001F	9600211	9610493
evm-000001F-processed-gene-42.0	abd-a_2	000001F	9736432	9889874
maker-000001F-est_gff_StringTie-gene-41.0	NA	000001F	9974232	9984071
maker-000001F-augustus-gene-43.1	abd-b	000001F	10287012	10308871
maker-000001F-augustus-gene-43.0	ilk	000001F	10378980	10433564
maker-000001F-exonerate_protein2genome-gene-44.0	galk2	000001F	10435860	10500029
maker-000001F-est_gff_StringTie-gene-44.2	NA	000001F	10507353	10529418
maker-000001F-exonerate_protein2genome-gene-44.1	sep2	000001F	10530829	10571378
maker-000001F-exonerate_protein2genome-gene-45.0	mab21l1_mab-21	000001F	10775354	10776451
maker-000001F-augustus-gene-45.0	NA	000001F	10825363	10831694
maker-000001F-est_gff_StringTie-gene-45.1	NA	000001F	10896026	10900330
maker-000001F-exonerate_protein2genome-gene-46.0	iscw003920	000001F	10922801	10979826
maker-000001F-exonerate_protein2genome-gene-46.1	mat2b	000001F	11021545	11074551
evm-000001F-processed-gene-46.12	NA	000001F	11091954	11110627
maker-000001F-est_gff_StringTie-gene-46.5	NA	000001F	11110744	11176771
maker-000001F-est_gff_StringTie-gene-47.0	slc16a12_slc16a4	000001F	11146912	11304173
maker-000001F-augustus-gene-47.9	gpm6b	000001F	11330111	11361631
maker-000001F-exonerate_protein2genome-gene-48.0	hspa4l_2	000001F	11424421	11455412
maker-000001F-est_gff_StringTie-gene-48.2	fhdc1_2	000001F	11509441	11662608
maker-000001F-est_gff_StringTie-gene-49.0	limch1	000001F	11665392	11789759
maker-000001F-est_gff_StringTie-gene-50.1	NA	000001F	11858888	12065823
maker-000001F-est_gff_StringTie-gene-50.0	NA	000001F	11861119	11966178
maker-000001F-est_gff_StringTie-gene-50.2	NA	000001F	12086532	12127864
augustus_masked-000001F-processed-gene-51.4	NA	000001F	12190163	12190381
augustus_masked-000001F-processed-gene-51.6	NA	000001F	12228090	12228437
augustus_masked-000001F-processed-gene-51.7	ncl-1_2	000001F	12231276	12233558
evm-000001F-processed-gene-51.15	asmtl	000001F	12273822	12313976
maker-000001F-est_gff_StringTie-gene-51.1	NA	000001F	12370650	12370976
maker-000001F-augustus-gene-52.2	ipo5	000001F	12424505	12509463
maker-000001F-est_gff_StringTie-gene-54.2	NA	000001F	12623523	12962694
evm-000001F-processed-gene-53.0	mimi_r196_2	000001F	12733541	12855951
maker-000001F-exonerate_protein2genome-gene-54.0	prrx2	000001F	12992403	13008982
maker-000001F-est_gff_StringTie-gene-54.3	NA	000001F	13019272	13040263
maker-000001F-est_gff_StringTie-gene-54.1	NA	000001F	13049052	13056137
maker-000001F-est_gff_StringTie-gene-55.0	slc8b1	000001F	13116508	13201720
maker-000001F-est_gff_StringTie-gene-57.0	fat1_2	000001F	13364844	13625718
evm-000001F-processed-gene-58.1	dnc	000001F	13626515	13708598
augustus_masked-000001F-processed-gene-58.8	NA	000001F	13710089	13710310
augustus_masked-000001F-processed-gene-58.9	NA	000001F	13753266	13753541
maker-000001F-est_gff_StringTie-gene-57.1	NA	000001F	13793318	13807987
maker-000001F-augustus-gene-58.3	NA	000001F	13795142	13840629
augustus_masked-000001F-processed-gene-58.11	NA	000001F	13844626	13865903
maker-000001F-est_gff_StringTie-gene-58.1	NA	000001F	13844690	13889109
maker-000001F-augustus-gene-58.4	NA	000001F	13926261	13951683
maker-000001F-augustus-gene-59.4	gpc6	000001F	14139167	14179137
maker-000001F-exonerate_protein2genome-gene-59.0	timm8a_2	000001F	14179597	14189179
maker-000001F-est_gff_StringTie-gene-59.4	postn	000001F	14189430	14262546
evm-000001F-processed-gene-60.1	ech1_2	000001F	14287016	14392990
maker-000001F-est_gff_StringTie-gene-60.2	sconc	000001F	14370507	14379223
maker-000001F-est_gff_StringTie-gene-60.3	hnrnpul1	000001F	14448274	14506231
maker-000001F-est_gff_StringTie-gene-60.4	NA	000001F	14554598	14555761
maker-000001F-est_gff_StringTie-gene-61.0	tl_3	000001F	14611856	14669406
evm-000001F-processed-gene-61.12	rad23a	000001F	14699263	14748568
maker-000001F-est_gff_StringTie-gene-62.0	abcc1_7	000001F	14757658	14874849
maker-000001F-augustus-gene-62.5	NA	000001F	14872351	14880317
maker-000001F-est_gff_StringTie-gene-62.1	zk1290.5	000001F	14880067	14927389
maker-000001F-est_gff_StringTie-gene-62.2	NA	000001F	14974563	14985030
maker-000001F-est_gff_StringTie-gene-63.0	crebbp_3	000001F	15019946	15205933
evm-000001F-processed-gene-64.2	rxfp1_4	000001F	15228636	15401769
maker-000001F-est_gff_StringTie-gene-65.0	onecut1	000001F	15574927	15756368
maker-000001F-est_gff_StringTie-gene-66.2	serpinb8_2	000001F	15766721	15785738
maker-000001F-exonerate_protein2genome-gene-66.3	sur-8	000001F	15821812	15872465
maker-000001F-est_gff_StringTie-gene-66.1	asic4a_3	000001F	15900568	15931748
evm-000001F-processed-gene-67.0	NA	000001F	15941246	15994824
maker-000001F-augustus-gene-67.8	NA	000001F	16005407	16037441
augustus_masked-000001F-processed-gene-67.3	NA	000001F	16048162	16064147
maker-000001F-est_gff_StringTie-gene-68.0	hexim1	000001F	16213513	16312953
maker-000001F-exonerate_protein2genome-gene-69.2	vinc	000001F	16503289	16599678
maker-000001F-est_gff_StringTie-gene-69.1	gpat3	000001F	16599628	16652840
maker-000001F-exonerate_protein2genome-gene-70.2	dctd	000001F	16813457	16868999
evm-000001F-processed-gene-70.1	washc4	000001F	16880976	16956494
maker-000001F-est_gff_StringTie-gene-71.0	NA	000001F	16972226	16992950
maker-000001F-augustus-gene-72.0	NA	000001F	17119477	17214798
maker-000001F-est_gff_StringTie-gene-72.0	NA	000001F	17253844	17254349
maker-000001F-augustus-gene-73.8	NA	000001F	17365991	17374507
maker-000001F-est_gff_StringTie-gene-73.1	mbtps2	000001F	17411621	17440359
evm-000001F-processed-gene-73.0	NA	000001F	17456379	17611048
maker-000001F-est_gff_StringTie-gene-74.0	dop1a	000001F	17644871	17770814
maker-000001F-est_gff_StringTie-gene-74.1	NA	000001F	17793336	17824232
evm-000001F-processed-gene-75.2	zc3h18	000001F	17864857	17938628
augustus_masked-000001F-processed-gene-75.8	arl1	000001F	17969997	17987375
maker-000001F-est_gff_StringTie-gene-75.1	rhobtb1	000001F	18047065	18135757
maker-000001F-est_gff_StringTie-gene-76.0	lman2	000001F	18156845	18180371
maker-000001F-augustus-gene-76.5	hexd	000001F	18200240	18239495
maker-000001F-est_gff_StringTie-gene-76.1	skp2a_fbxl7_fbxl20	000001F	18241317	18362796
maker-000001F-est_gff_StringTie-gene-77.1	hpdl	000001F	18313205	18433430
maker-000001F-exonerate_protein2genome-gene-77.0	hspa12a_2	000001F	18467383	18527491
maker-000001F-est_gff_StringTie-gene-77.3	tmem230	000001F	18525230	18553079
maker-000001F-exonerate_protein2genome-gene-78.1	prdx3	000001F	18579973	18652887
maker-000001F-exonerate_protein2genome-gene-79.3	hce_hcf	000001F	18662414	18693794
evm-000001F-processed-gene-79.15	trp-1	000001F	18713044	19061831
maker-000001F-est_gff_StringTie-gene-80.1	atrnl1_tag-53	000001F	19192369	19270716
maker-000001F-est_gff_StringTie-gene-80.0	NA	000001F	19270975	19316166
maker-000001F-est_gff_StringTie-gene-81.0	rab24	000001F	19379393	19405460
maker-000001F-est_gff_StringTie-gene-81.1	mas_4	000001F	19446520	19466324
