gene_id	geneName	Chr	Start	End	product	uniprot_id
maker-000231F-augustus-gene-6.9	NA	000231F	1475213	1485764	hypothetical protein	NA
maker-000231F-augustus-gene-6.10	NA	000231F	1490953	1496948	hypothetical protein	NA
evm-000231F-processed-gene-7.5	NA	000231F	1497388	1500845	hypothetical protein	NA
maker-000231F-exonerate_protein2genome-gene-6.2	NA	000231F	1525031	1527495	hypothetical protein	NA
maker-000231F-est_gff_StringTie-gene-7.2	NA	000231F	1535560	1538207	hypothetical protein	NA
maker-000231F-est_gff_StringTie-gene-7.3	NA	000231F	1543287	1616351	hypothetical protein	NA
evm-000231F-processed-gene-8.8	NA	000231F	1773612	1780964	hypothetical protein	NA
maker-000231F-est_gff_StringTie-gene-8.3	NA	000231F	1812877	1818103	hypothetical protein	NA
maker-000231F-est_gff_StringTie-gene-8.4	NA	000231F	1852248	1854956	hypothetical protein	NA
maker-000231F-augustus-gene-8.12	NA	000231F	1892159	1905836	hypothetical protein	NA
maker-000231F-est_gff_StringTie-gene-8.7	NA	000231F	1918342	1937997	hypothetical protein	NA
maker-000231F-augustus-gene-8.13	tth-1	000231F	1968643	2005137	Thymosin beta	O17389
augustus_masked-000231F-processed-gene-8.5	exd2	000231F	2037667	2039361	Exonuclease 3'-5' domain-containing protein 2	Q8VEG4
maker-000231F-exonerate_protein2genome-gene-9.0	dis3_2	000231F	2045628	2104509	Exosome complex exonuclease RRP44	Q9CSH3
maker-000231F-est_gff_StringTie-gene-9.1	slc6a5_4	000231F	2148656	2268314	Sodium- and chloride-dependent glycine transporter 2	Q761V0
evm-000231F-processed-gene-11.2	rg	000231F	2270181	2510457	Neurobeachin	Q9W4E2
maker-000231F-exonerate_protein2genome-gene-10.0	mab-21	000231F	2337098	2338195	Protein mab-21	Q5TW90
maker-000231F-est_gff_StringTie-gene-11.2	NA	000231F	2603282	2606224	hypothetical protein	NA
maker-000231F-exonerate_protein2genome-gene-11.4	pgrmc2	000231F	2611121	2617682	Membrane-associated progesterone receptor component 2	Q5XIU9
augustus_masked-000231F-processed-gene-11.10	NA	000231F	2617209	2635369	hypothetical protein	NA
maker-000231F-exonerate_protein2genome-gene-11.6	smarca5	000231F	2702439	2760271	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	Q91ZW3
maker-000231F-est_gff_StringTie-gene-12.1	NA	000231F	2785394	2803135	hypothetical protein	NA
maker-000231F-est_gff_StringTie-gene-12.2	NA	000231F	2832241	2859788	hypothetical protein	NA
maker-000231F-est_gff_StringTie-gene-12.0	NA	000231F	2840492	2842033	hypothetical protein	NA
maker-000231F-est_gff_StringTie-gene-12.3	cont	000231F	2902153	2957501	Contactin	Q9VN14
maker-000665F-est_gff_StringTie-gene-0.1	cg32669_slc5a8_2	000665F	3058	194129	Sodium-coupled monocarboxylate transporter 1,hypothetical protein,Putative sodium-dependent multivitamin transporter	Q8N695,P83740
evm-000665F-processed-gene-0.1	slc5a8_13	000665F	167500	256154	Sodium-coupled monocarboxylate transporter 1	Q7SYH5
maker-001059F-est_gff_StringTie-gene-0.0	NA	001059F	2304	9734	hypothetical protein	NA
evm-000028F-processed-gene-0.1	bmt2_2	000028F	3072	12730	S-adenosylmethionine sensor upstream of mTORC1	Q0P410
maker-000028F-est_gff_StringTie-gene-0.0	pcgf3_2	000028F	25742	59437	Polycomb group RING finger protein 3	Q8BTQ0
maker-000028F-est_gff_StringTie-gene-1.1	NA	000028F	203602	249900	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-3.0	NA	000028F	742133	836081	hypothetical protein	NA
maker-000028F-augustus-gene-4.4	NA	000028F	911168	948362	hypothetical protein	NA
maker-000028F-exonerate_protein2genome-gene-4.1	npy2r_prlhr	000028F	1005748	1006884	Neuropeptide Y receptor type 2,Prolactin-releasing peptide receptor	P97295,Q64121
maker-000028F-est_gff_StringTie-gene-5.0	pnlip_11	000028F	1243519	1279236	Pancreatic triacylglycerol lipase	Q6P8U6
maker-000028F-est_gff_StringTie-gene-5.1	pnlip_2	000028F	1289380	1324523	Pancreatic triacylglycerol lipase	Q6P8U6
maker-000028F-est_gff_StringTie-gene-6.0	pnlip_3	000028F	1338728	1367471	Pancreatic triacylglycerol lipase	Q6P8U6
maker-000028F-est_gff_StringTie-gene-6.1	pnlip_8	000028F	1383488	1429845	Pancreatic triacylglycerol lipase	Q6P8U6
maker-000028F-est_gff_StringTie-gene-6.2	oga	000028F	1436791	1561897	Protein O-GlcNAcase	Q9EQQ9,O60502
evm-000028F-processed-gene-8.3	epg5	000028F	1600519	1787982	Ectopic P granules protein 5 homolog	Q80TA9
augustus_masked-000028F-processed-gene-7.0	t_17	000028F	1603738	1604223	Transposable element P transposase	Q7M3K2
augustus_masked-000028F-processed-gene-7.1	t_12	000028F	1607584	1608081	Transposable element P transposase	Q7M3K2
evm-000028F-processed-gene-8.5	NA	000028F	1801737	1846857	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-8.0	NA	000028F	1859448	1862514	hypothetical protein	NA
maker-000028F-exonerate_protein2genome-gene-8.5	alkbh2_215	000028F	1917582	1918169	DNA oxidative demethylase ALKBH2	Q6NS38
evm-000028F-processed-gene-8.6	f10_2	000028F	1941778	1945355	Coagulation factor X	P25155
maker-000028F-est_gff_StringTie-gene-8.1	NA	000028F	1988836	2039634	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-9.4	atg4b	000028F	2060814	2097816	Cysteine protease ATG4B	Q8BGE6
maker-000028F-exonerate_protein2genome-gene-9.1	ak3	000028F	2117348	2138494	GTP:AMP phosphotransferase AK3%2C mitochondrial	P08760
maker-000028F-exonerate_protein2genome-gene-9.0	stk3	000028F	2138923	2184564	Serine/threonine-protein kinase 3	O54748,Q13188
maker-000028F-augustus-gene-9.3	fmo5_11	000028F	2189963	2300228	Dimethylaniline monooxygenase [N-oxide-forming] 5	Q8K4C0
maker-000028F-exonerate_protein2genome-gene-10.5	fmo5_10	000028F	2319750	2413747	Dimethylaniline monooxygenase [N-oxide-forming] 5	Q8K4C0,P49109
maker-000028F-exonerate_protein2genome-gene-10.6	fmo2_10	000028F	2490546	2506004	Dimethylaniline monooxygenase [N-oxide-forming] 2	Q5REK0
maker-000028F-est_gff_StringTie-gene-10.3	NA	000028F	2523613	2532676	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-10.4	NA	000028F	2542119	2550787	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-11.1	NA	000028F	2564172	2575499	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-11.2	NA	000028F	2588870	2720802	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-12.0	sv2b_sv2c	000028F	2703610	2807775	Synaptic vesicle glycoprotein 2B,Synaptic vesicle glycoprotein 2C	Q7L1I2,Q9Z2I6,Q8BG39
maker-000028F-augustus-gene-12.1	tw	000028F	2817497	2859737	Protein O-mannosyl-transferase 2	Q29IL2
maker-000028F-est_gff_StringTie-gene-12.2	hectd1	000028F	2857145	3035567	E3 ubiquitin-protein ligase HECTD1	Q9ULT8
augustus_masked-000028F-processed-gene-13.9	NA	000028F	3044217	3044831	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-13.0	dram1_3	000028F	3084369	3131558	DNA damage-regulated autophagy modulator protein 1	Q9DC58
maker-000028F-est_gff_StringTie-gene-13.1	dram1_7	000028F	3164497	3214793	DNA damage-regulated autophagy modulator protein 1	Q5EAK8
maker-000028F-est_gff_StringTie-gene-13.2	NA	000028F	3257918	3261188	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-15.1	NA	000028F	3371892	3574083	hypothetical protein	NA
maker-000028F-exonerate_protein2genome-gene-15.0	ap2a2_2	000028F	3619280	3645923	AP-2 complex subunit alpha-2	P18484
maker-000028F-exonerate_protein2genome-gene-17.0	mob2	000028F	3901905	4067783	MOB kinase activator-like 2	Q8IQG1
evm-000028F-processed-gene-17.2	zan_2	000028F	4096233	4205577	Zonadhesin	O88799
maker-000028F-est_gff_StringTie-gene-18.0	NA	000028F	4273001	4275800	hypothetical protein	NA
augustus_masked-000028F-processed-gene-18.1	NA	000028F	4364412	4376432	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-18.1	cg5065_2	000028F	4364412	4405601	Putative fatty acyl-CoA reductase CG5065	A1ZAI5
maker-000028F-est_gff_StringTie-gene-19.1	far1_wat_3	000028F	4452296	4517832	Fatty acyl-CoA reductase 1,Fatty acyl-CoA reductase wat	Q7ZXF5,Q8MS59
maker-000028F-augustus-gene-19.3	fnbp4	000028F	4525846	4620210	hypothetical protein,Formin-binding protein 4	Q6ZQ03
maker-000028F-est_gff_StringTie-gene-19.2	a4galt	000028F	4620713	4670754	Lactosylceramide 4-alpha-galactosyltransferase (Fragment)	Q9N290
maker-000028F-est_gff_StringTie-gene-20.1	slc29a3	000028F	4671180	4820656	Equilibrative nucleoside transporter 3,hypothetical protein	A1A4N1
maker-000028F-est_gff_StringTie-gene-20.0	NA	000028F	4925128	4927166	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-22.0	fgf17	000028F	5111737	5235781	Fibroblast growth factor 17	Q6SJP8
evm-000028F-processed-gene-23.0	hr3_2	000028F	5360396	5527246	Probable nuclear hormone receptor HR3	P31396
augustus_masked-000028F-processed-gene-23.6	NA	000028F	5527465	5533668	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-24.1	NA	000028F	5759538	5771090	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-24.0	sec23ip	000028F	5779515	5830758	SEC23-interacting protein	Q9Y6Y8
maker-000028F-est_gff_StringTie-gene-24.2	NA	000028F	5856231	5903215	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-25.0	otoplc_4	000028F	5948079	5995784	Proton channel OtopLc	B7Z0W9
evm-000028F-processed-gene-26.4	otoplc_5	000028F	6026195	6067247	Proton channel OtopLc	B7Z0W9
maker-000028F-exonerate_protein2genome-gene-25.1	eif4e1a_eif4e	000028F	6065529	6066149	Eukaryotic translation initiation factor 4E,Eukaryotic translation initiation factor 4E-1A	P48597,Q9DFS6
maker-000028F-est_gff_StringTie-gene-27.2	satb2_2	000028F	6212762	6436046	DNA-binding protein SATB2	Q9UPW6
maker-000028F-exonerate_protein2genome-gene-27.1	slc6a1	000028F	6444299	6543944	Sodium- and chloride-dependent GABA transporter 1	P30531
maker-000028F-est_gff_StringTie-gene-28.0	nt5c2	000028F	6536129	6724538	Cytosolic purine 5'-nucleotidase	Q5RA22
evm-000028F-processed-gene-28.2	NA	000028F	6748949	6760341	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-29.0	eag_8	000028F	6799122	6914325	Neuropeptide-like 1	E1ZXU8
maker-000028F-est_gff_StringTie-gene-29.2	NA	000028F	6995100	7020867	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-29.1	NA	000028F	7093080	7114662	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-30.0	e2f2_e2f1	000028F	7119280	7202296	Transcription factor E2F1,hypothetical protein,Transcription factor E2F2	Q90977,P56931
maker-000028F-augustus-gene-30.7	NA	000028F	7220400	7300030	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-30.1	ankra2	000028F	7307289	7347093	Ankyrin repeat family A protein 2	Q9H9E1
maker-000028F-exonerate_protein2genome-gene-31.1	smim15	000028F	7366334	7366558	Small integral membrane protein 15	A9JTJ0
evm-000028F-processed-gene-33.14	mbnl2	000028F	7371310	7443991	Muscleblind-like protein 2	Q5R4F5
maker-000028F-augustus-gene-33.16	NA	000028F	7579473	7597519	hypothetical protein	NA
augustus_masked-000028F-processed-gene-33.9	mbl	000028F	7872450	7872707	Protein muscleblind	O16011
augustus_masked-000028F-processed-gene-35.3	NA	000028F	8386371	8386574	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-35.0	NA	000028F	8403344	8427844	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-35.1	dgat2	000028F	8472359	8481888	Diacylglycerol O-acyltransferase 2	Q96PD7
evm-000028F-processed-gene-35.11	mogat1	000028F	8497002	8525929	2-acylglycerol O-acyltransferase 1	Q70VZ7
evm-000028F-processed-gene-36.3	mogat1_2	000028F	8551003	8593798	2-acylglycerol O-acyltransferase 1	Q70VZ7
maker-000028F-augustus-gene-36.1	scarb1_3	000028F	8611548	8758096	Scavenger receptor class B member 1	Q60417
maker-000028F-est_gff_StringTie-gene-36.2	NA	000028F	8698083	8706237	hypothetical protein	NA
evm-000028F-processed-gene-37.10	nck1	000028F	8786159	8796350	Cytoplasmic protein NCK1	Q99M51
maker-000028F-augustus-gene-37.12	NA	000028F	8805443	8823462	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-37.2	gluria_2	000028F	8851186	8899844	Glutamate receptor 1	Q03445
maker-000028F-est_gff_StringTie-gene-37.3	l(2)tid_2	000028F	8924814	8950003	Protein tumorous imaginal discs%2C mitochondrial	Q24331
maker-000028F-est_gff_StringTie-gene-37.4	NA	000028F	8953716	8963621	hypothetical protein	NA
maker-000028F-exonerate_protein2genome-gene-38.3	klhl8_klhl20	000028F	9142603	9192076	Kelch-like protein 8,Kelch-like protein 20	Q9P2G9,D3Z8N4
maker-000028F-est_gff_StringTie-gene-38.1	ggr-1	000028F	9244987	9248735	Glycine receptor subunit beta-type 4	Q09453
maker-000028F-est_gff_StringTie-gene-40.1	NA	000028F	9295451	9315516	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-40.2	trp-1_2	000028F	9349773	9618274	Transient-receptor-potential-like protein	P34586
maker-000028F-est_gff_StringTie-gene-42.1	NA	000028F	9785454	10011769	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-42.2	slc30a9	000028F	10052601	10117525	Zinc transporter 9	Q5PQZ3,Q6DCE3
evm-000028F-processed-gene-42.7	lrrc59	000028F	10117661	10130611	Leucine-rich repeat-containing protein 59	Q96AG4
maker-000028F-exonerate_protein2genome-gene-42.0	klhl5	000028F	10143422	10187877	Kelch-like protein 5	Q96PQ7
maker-000028F-est_gff_StringTie-gene-43.0	NA	000028F	10265077	10268672	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-43.1	NA	000028F	10278045	10283572	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-43.2	NA	000028F	10398176	10419461	hypothetical protein	NA
maker-000028F-est_gff_StringTie-gene-44.0	NA	000028F	10496318	10500110	hypothetical protein	NA
maker-000922F-est_gff_StringTie-gene-0.0	NA	000922F	36086	38476	hypothetical protein	NA
maker-000234F-est_gff_StringTie-gene-0.0	gosr1	000234F	8505	47259	Golgi SNAP receptor complex member 1	Q2TBU3,Q5RBL6
maker-000234F-augustus-gene-2.6	slc5a9_2	000234F	38789	49340	Sodium/glucose cotransporter 4	A8WHP3
maker-000234F-exonerate_protein2genome-gene-2.3	NA	000234F	73100	73177	hypothetical protein	NA
maker-000234F-exonerate_protein2genome-gene-2.4	slc5a9_slc5a1	000234F	77732	143660	Sodium/glucose cotransporter 4,Sodium/glucose cotransporter 1	A8WHP3,P53791
maker-000234F-exonerate_protein2genome-gene-2.5	slc5a9	000234F	167857	218985	Sodium/glucose cotransporter 4	A8WHP3
maker-000234F-exonerate_protein2genome-gene-2.6	slc5a9_slc5a11	000234F	245684	428438	Sodium/glucose cotransporter 4,Sodium/myo-inositol cotransporter 2	A8WHP3,Q8K0E3
maker-000234F-est_gff_StringTie-gene-2.0	dgcr2	000234F	444536	481449	Integral membrane protein DGCR2/IDD	P98153
maker-000234F-augustus-gene-2.5	NA	000234F	484710	494905	hypothetical protein	NA
maker-000234F-est_gff_StringTie-gene-3.2	calpa_2	000234F	554906	647938	Calpain-A	Q11002
augustus_masked-000234F-processed-gene-3.6	NA	000234F	709687	710019	hypothetical protein	NA
maker-000234F-est_gff_StringTie-gene-3.3	NA	000234F	718940	740653	hypothetical protein	NA
maker-000234F-exonerate_protein2genome-gene-3.0	metap2	000234F	761196	792557	Methionine aminopeptidase 2	P50579
maker-000234F-est_gff_StringTie-gene-3.1	ino80b	000234F	823553	848828	INO80 complex subunit B,hypothetical protein	Q9C086
evm-000234F-processed-gene-4.5	slc6a13_2	000234F	1036559	1074972	Sodium- and chloride-dependent GABA transporter 2	P31646
maker-000234F-est_gff_StringTie-gene-4.2	ubl4a	000234F	1081396	1108739	Ubiquitin-like protein 4A	A4QND0
evm-000234F-processed-gene-7.28	gata2	000234F	1250066	1624299	GATA-binding factor 2	P23824
maker-000234F-augustus-gene-6.6	NA	000234F	1337091	1373620	hypothetical protein	NA
augustus_masked-000234F-processed-gene-7.17	NA	000234F	1624329	1624781	hypothetical protein	NA
maker-000234F-est_gff_StringTie-gene-7.1	NA	000234F	1669909	1723422	hypothetical protein	NA
maker-000234F-est_gff_StringTie-gene-8.0	rhbdl3	000234F	1973091	2010208	Rhomboid-related protein 3	P58872
maker-000234F-est_gff_StringTie-gene-8.1	pfdn5	000234F	2017354	2031053	Probable prefoldin subunit 5,hypothetical protein	Q9VCZ8
evm-000234F-processed-gene-9.8	slc10a2_2	000234F	2075443	2257316	Ileal sodium/bile acid cotransporter	Q62633
maker-000234F-est_gff_StringTie-gene-9.1	NA	000234F	2278847	2311990	hypothetical protein	NA
maker-000234F-est_gff_StringTie-gene-10.2	slc25a46_slc25a46-a	000234F	2319765	2348888	Solute carrier family 25 member 46-A,Solute carrier family 25 member 46	Q6INQ6,Q5ZIG3
maker-000234F-exonerate_protein2genome-gene-10.0	sepsecs	000234F	2349301	2350728	O-phosphoseryl-tRNA(Sec) selenium transferase	Q6P6M7
maker-000234F-est_gff_StringTie-gene-10.3	phospho1	000234F	2384170	2391579	Phosphoethanolamine/phosphocholine phosphatase	Q8R2H9
evm-000234F-processed-gene-10.0	ubqln1	000234F	2391813	2424505	Ubiquilin-1	Q9UMX0
augustus_masked-000234F-processed-gene-13.6	pdfr	000234F	2627742	2823382	PDF receptor	Q9W4Y2
augustus_masked-000234F-processed-gene-13.11	NA	000234F	2829244	2860118	hypothetical protein	NA
maker-000234F-augustus-gene-13.5	NA	000234F	2860303	3052894	hypothetical protein	NA
maker-000234F-est_gff_StringTie-gene-13.1	NA	000234F	3113298	3152678	hypothetical protein	NA
augustus_masked-000234F-processed-gene-13.15	NA	000234F	3135774	3136238	hypothetical protein	NA
augustus_masked-000854F-processed-gene-0.1	NA	000854F	8294	15586	hypothetical protein	NA
maker-000854F-est_gff_StringTie-gene-0.1	NA	000854F	39909	41688	hypothetical protein	NA
evm-000854F-processed-gene-0.0	ap1b1	000854F	85980	105369	AP-1 complex subunit beta-1	O35643
maker-000564F-est_gff_StringTie-gene-0.0	NA	000564F	41963	46836	hypothetical protein	NA
maker-000564F-est_gff_StringTie-gene-0.1	NA	000564F	56885	86085	hypothetical protein	NA
maker-000564F-est_gff_StringTie-gene-0.2	NA	000564F	101381	112975	hypothetical protein	NA
maker-000564F-est_gff_StringTie-gene-1.1	tnxb_ten-m	000564F	161640	287601	Tenascin-X,Teneurin-m	P22105,O61307
maker-000564F-est_gff_StringTie-gene-1.0	NA	000564F	206000	249688	hypothetical protein	NA
maker-000564F-est_gff_StringTie-gene-1.2	notch1	000564F	341148	346193	Neurogenic locus notch homolog protein 1	Q01705
maker-000564F-est_gff_StringTie-gene-1.3	egf1_notch1_n_matn2_fp2	000564F	352525	521115	Matrilin-2,Neurogenic locus Notch protein,Fibropellin-1,Neurogenic locus notch homolog protein 1,Adhesive plaque matrix protein 2	O08746,P07207,P10079,P21783,A2RUV0,Q25464
maker-000564F-est_gff_StringTie-gene-1.4	adgrl4_3	000564F	551359	574691	Adhesion G protein-coupled receptor L4	Q923X1
augustus_masked-000512F-processed-gene-0.0	nelfcd	000512F	9325	11085	Negative elongation factor D	Q5RFA0
maker-000512F-est_gff_StringTie-gene-0.1	NA	000512F	49965	52469	hypothetical protein	NA
maker-000512F-exonerate_protein2genome-gene-2.4	nachralpha2	000512F	77687	720995	Acetylcholine receptor subunit alpha-like 2	P17644
maker-000512F-est_gff_StringTie-gene-2.1	fat4	000512F	766516	774460	hypothetical protein,Protocadherin Fat 4	Q2PZL6
maker-000512F-est_gff_StringTie-gene-2.3	glmp_glmp-b	000512F	783157	815998	Glycosylated lysosomal membrane protein,Glycosylated lysosomal membrane protein B,hypothetical protein	C0HBB2,A8WH34
evm-000512F-processed-gene-2.30	exosc8	000512F	815902	844178	Exosome complex component RRP43	Q2KHU3
maker-000224F-est_gff_StringTie-gene-0.0	acsl5_2	000224F	14934	118923	Long-chain-fatty-acid--CoA ligase 5	Q9ULC5,O88813
maker-000224F-est_gff_StringTie-gene-1.2	NA	000224F	137368	200097	hypothetical protein	NA
maker-000224F-est_gff_StringTie-gene-1.3	NA	000224F	237653	272487	hypothetical protein	NA
maker-000224F-exonerate_protein2genome-gene-1.0	znf84_znf569	000224F	306301	307776	Zinc finger protein 84,hypothetical protein,Zinc finger protein 569	P51523,Q5MCW4
maker-000224F-est_gff_StringTie-gene-1.4	racgap1_2	000224F	318321	372321	Rac GTPase-activating protein 1	Q9WVM1,Q9H0H5
evm-000224F-processed-gene-1.8	trub2	000224F	372592	392738	Mitochondrial mRNA pseudouridine synthase Trub2	Q5XGG2
maker-000224F-exonerate_protein2genome-gene-2.2	cg8005	000224F	379713	413880	Probable deoxyhypusine synthase	Q9VSF4
maker-000224F-augustus-gene-2.0	scai	000224F	413748	450288	Protein SCAI	Q8N9R8,Q8C8N2
evm-000224F-processed-gene-2.3	racgap1	000224F	487241	539822	Rac GTPase-activating protein 1	Q9H0H5
augustus_masked-000224F-processed-gene-2.10	scp2_3	000224F	600506	602113	Non-specific lipid-transfer protein	O62742
maker-000224F-est_gff_StringTie-gene-3.3	NA	000224F	608720	658929	hypothetical protein	NA
maker-000224F-est_gff_StringTie-gene-3.0	cdc7	000224F	656999	715084	Cell division cycle 7-related protein kinase,hypothetical protein,Probable serine/threonine-protein kinase cdc7	O00311,Q54DK3
maker-000224F-est_gff_StringTie-gene-3.1	nrde2	000224F	725822	751121	Nuclear exosome regulator NRDE2	Q9H7Z3
augustus_masked-000224F-processed-gene-3.2	hagh	000224F	756791	757567	Hydroxyacylglutathione hydrolase%2C mitochondrial	Q3B7M2
maker-000224F-est_gff_StringTie-gene-3.4	man2a1	000224F	774680	813717	Alpha-mannosidase 2	Q16706,P28494
maker-000224F-est_gff_StringTie-gene-4.1	smg8	000224F	827506	896040	Protein smg8,Protein SMG8	Q0VA04,Q8VE18
maker-000224F-est_gff_StringTie-gene-3.2	NA	000224F	852823	856505	hypothetical protein	NA
maker-000224F-est_gff_StringTie-gene-4.2	NA	000224F	913610	922672	hypothetical protein	NA
maker-000224F-est_gff_StringTie-gene-4.3	NA	000224F	936811	993388	hypothetical protein	NA
maker-000224F-est_gff_StringTie-gene-4.0	NA	000224F	997688	1003658	hypothetical protein	NA
maker-000224F-augustus-gene-5.18	NA	000224F	1021556	1054287	hypothetical protein	NA
maker-000224F-exonerate_protein2genome-gene-5.4	klhl17	000224F	1086318	1192733	Kelch-like protein 17	Q6TDP4
maker-000224F-exonerate_protein2genome-gene-5.5	phb2	000224F	1202206	1235466	Prohibitin-2	Q5XIH7,O35129
maker-000224F-exonerate_protein2genome-gene-5.6	alpl_7	000224F	1248345	1344677	Alkaline phosphatase%2C tissue-nonspecific isozyme	P09487
maker-000224F-est_gff_StringTie-gene-6.0	fastkd2	000224F	1376467	1417981	FAST kinase domain-containing protein 2%2C mitochondrial	Q922E6
maker-000224F-est_gff_StringTie-gene-8.0	lac	000224F	1459492	1981671	hypothetical protein,Lachesin	Q24372
evm-000224F-processed-gene-12.2	lac_5	000224F	2742583	2973118	Lachesin	Q24372
maker-000224F-est_gff_StringTie-gene-12.1	adam10	000224F	3004364	3013657	hypothetical protein,Disintegrin and metalloproteinase domain-containing protein 10	Q8JIY1
evm-000224F-processed-gene-13.4	parp1_2	000224F	3026938	3055008	Poly [ADP-ribose] polymerase 1	P26446
maker-000224F-est_gff_StringTie-gene-13.0	abl	000224F	3117055	3180012	Tyrosine-protein kinase Abl	P00522
maker-000224F-est_gff_StringTie-gene-13.2	stmn1-a	000224F	3373476	3418269	Stathmin-1-A	Q09006
maker-000597F-est_gff_StringTie-gene-0.1	NA	000597F	14202	32230	hypothetical protein	NA
maker-000597F-augustus-gene-0.6	NA	000597F	82389	85446	hypothetical protein	NA
maker-000597F-augustus-gene-0.7	ilk_2	000597F	162249	182339	Integrin-linked protein kinase	Q5R5V4
maker-000597F-exonerate_protein2genome-gene-0.6	hspb1_l(2)efl_2	000597F	191801	192232	Protein lethal(2)essential for life,Heat shock protein beta-1	P82147,Q00649
maker-000597F-augustus-gene-0.3	NA	000597F	293057	325214	hypothetical protein	NA
maker-000597F-exonerate_protein2genome-gene-0.4	agap002499	000597F	372743	409303	Probable methylmalonate-semialdehyde dehydrogenase [acylating]%2C mitochondrial	Q7QC84
maker-001380F-est_gff_StringTie-gene-0.1	NA	001380F	28995	35702	hypothetical protein	NA
augustus_masked-001082F-processed-gene-0.23	alkbh2_118	001082F	33542	34135	DNA oxidative demethylase ALKBH2	Q6P6J4
maker-000806F-augustus-gene-0.5	NA	000806F	483	68971	hypothetical protein	NA
maker-000806F-est_gff_StringTie-gene-0.1	NA	000806F	91979	98722	hypothetical protein	NA
maker-000147F-est_gff_StringTie-gene-0.0	NA	000147F	65326	73202	hypothetical protein	NA
maker-000147F-augustus-gene-0.1	NA	000147F	92241	96812	hypothetical protein	NA
augustus_masked-000147F-processed-gene-0.22	pgbd4_31	000147F	106525	110697	PiggyBac transposable element-derived protein 4	Q96DM1
augustus_masked-000147F-processed-gene-0.23	NA	000147F	110733	111065	hypothetical protein	NA
evm-000147F-processed-gene-1.6	NA	000147F	215796	221500	hypothetical protein	NA
maker-000147F-est_gff_StringTie-gene-2.2	NA	000147F	234907	532406	hypothetical protein	NA
maker-000147F-augustus-gene-2.17	NA	000147F	339449	416580	hypothetical protein	NA
maker-000147F-est_gff_StringTie-gene-2.0	NA	000147F	388202	470658	hypothetical protein	NA
maker-000147F-est_gff_StringTie-gene-2.1	thap2_18	000147F	515133	516934	THAP domain-containing protein 2	Q9D305
evm-000147F-processed-gene-3.6	pbrm1	000147F	583444	695350	Protein polybromo-1	Q86U86
maker-000147F-est_gff_StringTie-gene-3.2	frg1	000147F	695245	716029	Protein FRG1	O73747
maker-000147F-exonerate_protein2genome-gene-3.1	dcun1d4	000147F	722387	785538	DCN1-like protein 4	Q8CCA0
maker-000147F-augustus-gene-3.8	NA	000147F	807475	844578	hypothetical protein	NA
maker-000147F-exonerate_protein2genome-gene-3.0	zscan5b_znf227_znf112	000147F	856260	856772	hypothetical protein,Zinc finger and SCAN domain-containing protein 5B,Zinc finger protein 227,Zinc finger protein 112	A6NJL1,Q86WZ6,Q9UJU3
maker-000147F-est_gff_StringTie-gene-4.2	NA	000147F	904255	909136	hypothetical protein	NA
maker-000147F-est_gff_StringTie-gene-4.0	NA	000147F	916384	997637	hypothetical protein	NA
maker-000147F-augustus-gene-4.2	rlf2	000147F	934760	954487	Chromatin assembly factor 1 subunit rlf2	Q1MTN9
maker-000147F-est_gff_StringTie-gene-4.1	daf-36	000147F	1009272	1034024	Cholesterol 7-desaturase	Q17938
maker-000147F-est_gff_StringTie-gene-5.0	NA	000147F	1287301	1316075	hypothetical protein	NA
maker-000147F-est_gff_StringTie-gene-5.1	NA	000147F	1333679	1334521	hypothetical protein	NA
maker-000147F-est_gff_StringTie-gene-5.2	NA	000147F	1336518	1345959	hypothetical protein	NA
augustus_masked-000147F-processed-gene-6.1	NA	000147F	1374846	1375256	hypothetical protein	NA
maker-000147F-est_gff_StringTie-gene-6.0	ash1l	000147F	1399182	1507817	Histone-lysine N-methyltransferase ASH1L	Q99MY8
