"","gene_id","geneName","lascID","scGeneName","Chr","Start","End"
"5135","maker-000046F-est_gff_StringTie-gene-6.2","hivep2","LASC005222","hivep2","000046F",1418592,1507101
"5136","maker-000046F-est_gff_StringTie-gene-6.0","aig1_adtrp","LASC005223","aig1-adtrp","000046F",1507074,1567634
"5137","maker-000046F-est_gff_StringTie-gene-7.0","aig1","LASC005224","aig1","000046F",1580969,1619294
"5138","maker-000046F-est_gff_StringTie-gene-7.3","mlycd","LASC005225","mlycd","000046F",1620257,1633144
"5139","maker-000046F-est_gff_StringTie-gene-7.1","ate1","LASC005226","ate1","000046F",1632997,1717899
"5140","maker-000046F-est_gff_StringTie-gene-7.2","LASC005227","LASC005227","LASC005227","000046F",1747078,1771616
"5141","maker-000046F-exonerate_protein2genome-gene-8.3","LASC005228","LASC005228","LASC005228","000046F",1838037,1863343
"5142","maker-000046F-exonerate_protein2genome-gene-8.4","fem1b","LASC005229","fem1b","000046F",1958514,1960445
"5143","maker-000046F-est_gff_StringTie-gene-8.1","wac","LASC005230","wac","000046F",1961097,2067196
"5144","maker-000046F-est_gff_StringTie-gene-9.0","LASC005231","LASC005231","LASC005231","000046F",2089395,2096245
"5145","evm-000046F-processed-gene-9.4","actbeta","LASC005232","actbeta","000046F",2196841,2198475
"5146","augustus_masked-000046F-processed-gene-9.3","inhba","LASC005233","inhba","000046F",2243666,2244118
"5147","maker-000046F-est_gff_StringTie-gene-10.1","thap2_19","LASC005234","thap2-19","000046F",2381733,2383838
"5148","maker-000046F-augustus-gene-10.1","asph","LASC005235","asph","000046F",2395943,2469657
"5149","augustus_masked-000046F-processed-gene-10.10","fignl1","LASC005236","fignl1","000046F",2470312,2472015
"5150","maker-000046F-exonerate_protein2genome-gene-11.1","acox1","LASC005237","acox1","000046F",2489030,2542107
"5151","evm-000046F-processed-gene-11.12","rtn3-b","LASC005238","rtn3-b","000046F",2607393,2630750
"5152","maker-000046F-est_gff_StringTie-gene-11.6","LASC005239","LASC005239","LASC005239","000046F",2688268,2717727
"5153","evm-000046F-processed-gene-11.10","ppm1b","LASC005240","ppm1b","000046F",2717920,2788273
"5154","maker-000046F-exonerate_protein2genome-gene-12.2","abitram","LASC005241","abitram","000046F",2838321,2838794
"5155","maker-000046F-est_gff_StringTie-gene-12.1","LASC005242","LASC005242","LASC005242","000046F",2864829,2877077
"5156","augustus_masked-000046F-processed-gene-12.4","LASC005243","LASC005243","LASC005243","000046F",2894078,2906470
"5157","maker-000046F-est_gff_StringTie-gene-12.0","taf1_cg11722","LASC005244","taf1-cg11722","000046F",2894078,2963416
"5158","maker-000046F-est_gff_StringTie-gene-13.0","ift88","LASC005245","ift88","000046F",3005680,3049329
"5159","maker-000046F-est_gff_StringTie-gene-14.1","sim2","LASC005246","sim2","000046F",3099599,3297020
"5160","maker-000046F-est_gff_StringTie-gene-14.2","hacd1","LASC005247","hacd1","000046F",3332929,3350251
"5161","maker-000046F-exonerate_protein2genome-gene-14.0","syt16","LASC005248","syt16","000046F",3352954,3392765
"5162","maker-000046F-augustus-gene-14.3","syt14","LASC005249","syt14","000046F",3376420,3389503
"5163","evm-000046F-processed-gene-14.6","LASC005250","LASC005250","LASC005250","000046F",3426144,3482643
"5164","evm-000046F-processed-gene-15.6","LASC005251","LASC005251","LASC005251","000046F",3646361,3650239
"5165","maker-000046F-est_gff_StringTie-gene-15.0","max_2","LASC005252","max-2","000046F",3676147,3717151
"5166","maker-000046F-est_gff_StringTie-gene-16.1","mpp7","LASC005253","mpp7","000046F",3772885,3819987
"5167","evm-000046F-processed-gene-16.8","frmd5","LASC005254","frmd5","000046F",3820030,3843161
"5168","maker-000046F-augustus-gene-16.1","ncl-1","LASC005255","ncl-1","000046F",3933555,3954660
"5169","evm-000046F-processed-gene-17.0","mrps36","LASC005256","mrps36","000046F",4031338,4049785
"5170","maker-000046F-est_gff_StringTie-gene-17.2","sugp1","LASC005257","sugp1","000046F",4096337,4164696
"5171","maker-000046F-exonerate_protein2genome-gene-17.0","arih1_2","LASC005258","arih1-2","000046F",4164726,4230464
"5172","maker-000046F-est_gff_StringTie-gene-18.1","faim2_2","LASC005259","faim2-2","000046F",4271468,4314865
"5173","maker-000046F-est_gff_StringTie-gene-18.2","thap9_13","LASC005260","thap9-13","000046F",4342693,4345683
"5174","augustus_masked-000046F-processed-gene-18.9","thap9_12","LASC005261","thap9-12","000046F",4346238,4347059
"5175","maker-000046F-exonerate_protein2genome-gene-18.4","rpl26","LASC005262","rpl26","000046F",4372139,4372576
"5176","evm-000046F-processed-gene-18.5","noa36","LASC005263","noa36","000046F",4407742,4450311
"5177","evm-000046F-processed-gene-20.6","arhgap26","LASC005264","arhgap26","000046F",4454101,4740390
"5178","maker-000046F-est_gff_StringTie-gene-19.0","LASC005265","LASC005265","LASC005265","000046F",4500477,4525048
"5179","maker-000046F-est_gff_StringTie-gene-21.0","epc1","LASC005266","epc1","000046F",4741095,5017167
"5180","maker-000046F-est_gff_StringTie-gene-24.0","thsd7a","LASC005267","thsd7a","000046F",5121354,5729639
"5181","maker-000046F-augustus-gene-24.2","LASC005268","LASC005268","LASC005268","000046F",5344715,5398859
"5182","maker-000046F-est_gff_StringTie-gene-26.0","LASC005269","LASC005269","LASC005269","000046F",6185072,6189337
"5183","maker-000046F-est_gff_StringTie-gene-29.2","cdk6_2","LASC005270","cdk6-2","000046F",6660380,6983048
"5184","maker-000046F-exonerate_protein2genome-gene-29.4","mars","LASC005271","mars","000046F",6985416,7070736
"5185","maker-000046F-est_gff_StringTie-gene-30.0","LASC005272","LASC005272","LASC005272","000046F",7138756,7272368
"5186","maker-000046F-est_gff_StringTie-gene-30.2","LASC005273","LASC005273","LASC005273","000046F",7284210,7290944
"5187","evm-000046F-processed-gene-30.8","ubc","LASC005274","ubc","000046F",7332055,7337076
"5188","evm-000046F-processed-gene-31.8","pygo","LASC005275","pygo","000046F",7348410,7366139
"5189","evm-000046F-processed-gene-31.5","stoml2","LASC005276","stoml2","000046F",7366364,7409109
"5190","evm-000046F-processed-gene-31.9","hmgb3","LASC005277","hmgb3","000046F",7422162,7498538
"5191","maker-000046F-est_gff_StringTie-gene-31.1","irak4","LASC005278","irak4","000046F",7527536,7557538
"5192","maker-000046F-est_gff_StringTie-gene-31.4","zmynd10_2","LASC005279","zmynd10-2","000046F",7562875,7570396
"5193","maker-000046F-est_gff_StringTie-gene-31.5","zmynd10","LASC005280","zmynd10","000046F",7573247,7575684
"5194","maker-000046F-est_gff_StringTie-gene-31.6","zmynd10_3","LASC005281","zmynd10-3","000046F",7577251,7580858
"5195","maker-000046F-est_gff_StringTie-gene-32.1","LASC005282","LASC005282","LASC005282","000046F",7592178,7599950
"5196","evm-000046F-processed-gene-32.9","faah2_5","LASC005283","faah2-5","000046F",7617680,7637686
"5197","maker-000046F-est_gff_StringTie-gene-32.2","mbip","LASC005284","mbip","000046F",7652507,7765077
"5198","maker-000046F-est_gff_StringTie-gene-32.0","LASC005285","LASC005285","LASC005285","000046F",7678668,7684533
"5199","maker-000046F-est_gff_StringTie-gene-32.4","LASC005286","LASC005286","LASC005286","000046F",7778836,7820972
"5200","maker-000046F-est_gff_StringTie-gene-33.0","apmap_3","LASC005287","apmap-3","000046F",7808952,7912779
"5201","maker-000046F-est_gff_StringTie-gene-33.1","LASC005288","LASC005288","LASC005288","000046F",7838830,7870742
"5202","maker-000046F-est_gff_StringTie-gene-33.2","jhamt_16","LASC005289","jhamt-16","000046F",7917013,7935346
"5203","maker-000046F-est_gff_StringTie-gene-33.3","ssuh2_8","LASC005290","ssuh2-8","000046F",7939636,7960530
"5204","maker-000046F-est_gff_StringTie-gene-33.4","ssuh2_3","LASC005291","ssuh2-3","000046F",7976760,8058345
"5205","maker-000046F-exonerate_protein2genome-gene-34.4","hexa","LASC005292","hexa","000046F",8058315,8086860
"5206","maker-000046F-est_gff_StringTie-gene-34.1","LASC005293","LASC005293","LASC005293","000046F",8094269,8111663
"5207","maker-000046F-exonerate_protein2genome-gene-34.5","znf468_znf845_znf888_znf83_znf28_zfp2_znf45","LASC005294","znf468-znf845-znf888-znf83-znf28-zfp2-znf45","000046F",8118563,8133633
"5208","maker-000046F-est_gff_StringTie-gene-34.3","hddc2","LASC005295","hddc2","000046F",8134933,8159027
"5209","maker-000046F-est_gff_StringTie-gene-34.2","fam8a1","LASC005296","fam8a1","000046F",8158690,8179870
"5210","maker-000046F-exonerate_protein2genome-gene-35.4","bib","LASC005297","bib","000046F",8203141,8339938
"5211","augustus_masked-000046F-processed-gene-35.5","bib_2","LASC005298","bib-2","000046F",8203603,8247929
"5212","maker-000046F-est_gff_StringTie-gene-35.2","baiap3","LASC005299","baiap3","000046F",8350754,8503626
"5213","maker-000046F-est_gff_StringTie-gene-35.1","LASC005300","LASC005300","LASC005300","000046F",8425456,8433008
"5214","maker-000046F-augustus-gene-37.0","LASC005301","LASC005301","LASC005301","000046F",8943669,8958461
"5215","augustus_masked-000600F-processed-gene-0.11","LASC022144","LASC022144","LASC022144","000600F",522,1376
"5216","maker-000600F-exonerate_protein2genome-gene-0.4","ppp5c_2","LASC022145","ppp5c-2","000600F",23340,48345
"5217","maker-000600F-est_gff_StringTie-gene-0.2","ndg_2","LASC022146","ndg-2","000600F",52178,106154
"5218","maker-000600F-est_gff_StringTie-gene-0.3","LASC022147","LASC022147","LASC022147","000600F",137219,210206
"5219","maker-000600F-est_gff_StringTie-gene-0.1","ork1","LASC022148","ork1","000600F",160639,279868
"5220","maker-000600F-exonerate_protein2genome-gene-0.5","eff_ube2d4","LASC022149","eff-ube2d4","000600F",286948,287391
"5221","maker-000642F-est_gff_StringTie-gene-0.0","LASC022311","LASC022311","LASC022311","000642F",15035,19269
"5222","maker-000339F-est_gff_StringTie-gene-0.0","LASC018459","LASC018459","LASC018459","000339F",27025,29269
"5223","maker-000339F-augustus-gene-0.9","LASC018460","LASC018460","LASC018460","000339F",58544,113851
"5224","maker-000339F-est_gff_StringTie-gene-2.9","LASC018461","LASC018461","LASC018461","000339F",199326,415741
"5225","evm-000339F-processed-gene-2.27","LASC018462","LASC018462","LASC018462","000339F",449007,455119
"5226","maker-000339F-est_gff_StringTie-gene-2.10","erich2","LASC018463","erich2","000339F",455755,473076
"5227","evm-000339F-processed-gene-2.28","mlc-c","LASC018464","mlc-c","000339F",473341,486177
"5228","maker-000339F-exonerate_protein2genome-gene-2.14","rpe","LASC018465","rpe","000339F",490272,506255
"5229","maker-000339F-est_gff_StringTie-gene-2.6","bcap29","LASC018466","bcap29","000339F",499822,524887
"5230","augustus_masked-000339F-processed-gene-2.20","LASC018467","LASC018467","LASC018467","000339F",535475,535912
"5231","maker-000339F-est_gff_StringTie-gene-2.7","yjbq","LASC018468","yjbq","000339F",536444,547265
"5232","maker-000339F-est_gff_StringTie-gene-2.12","pan2","LASC018469","pan2","000339F",547524,596937
"5233","maker-000339F-est_gff_StringTie-gene-2.8","asb3_asb2","LASC018470","asb3-asb2","000339F",597034,624114
"5234","maker-000339F-exonerate_protein2genome-gene-3.1","bcs1l","LASC018471","bcs1l","000339F",626320,643243
"5235","maker-000339F-est_gff_StringTie-gene-3.8","pcid2_2","LASC018472","pcid2-2","000339F",656902,672528
"5236","maker-000339F-est_gff_StringTie-gene-3.9","pcid2","LASC018473","pcid2","000339F",673672,676286
"5237","maker-000339F-est_gff_StringTie-gene-3.4","apod","LASC018474","apod","000339F",686575,710467
"5238","maker-000339F-est_gff_StringTie-gene-3.10","LASC018475","LASC018475","LASC018475","000339F",700174,700704
"5239","maker-000339F-est_gff_StringTie-gene-3.5","apod_3","LASC018476","apod-3","000339F",737473,749343
"5240","maker-000339F-est_gff_StringTie-gene-3.11","LASC018477","LASC018477","LASC018477","000339F",757029,761303
"5241","maker-000339F-est_gff_StringTie-gene-3.12","LASC018478","LASC018478","LASC018478","000339F",762269,772732
"5242","maker-000339F-est_gff_StringTie-gene-3.6","LASC018479","LASC018479","LASC018479","000339F",798352,815080
"5243","maker-000339F-exonerate_protein2genome-gene-3.2","washc1","LASC018480","washc1","000339F",821564,835822
"5244","maker-000339F-exonerate_protein2genome-gene-3.0","eif6","LASC018481","eif6","000339F",836129,836866
"5245","maker-000339F-exonerate_protein2genome-gene-3.3","cg8412","LASC018482","cg8412","000339F",840024,866239
"5246","evm-000339F-processed-gene-4.14","LASC018483","LASC018483","LASC018483","000339F",866436,906890
"5247","evm-000339F-processed-gene-4.16","cand1","LASC018484","cand1","000339F",931212,998663
"5248","evm-000339F-processed-gene-4.15","rpl-7","LASC018485","rpl-7","000339F",1016668,1026737
"5249","maker-000339F-est_gff_StringTie-gene-4.4","mad2l1bp","LASC018486","mad2l1bp","000339F",1040599,1046338
"5250","maker-000339F-augustus-gene-4.3","glrx5_grxs11","LASC018487","glrx5-grxs11","000339F",1046671,1061758
"5251","maker-000339F-est_gff_StringTie-gene-5.0","oxr1","LASC018488","oxr1","000339F",1091506,1287781
"5252","augustus_masked-000339F-processed-gene-5.4","LASC018489","LASC018489","LASC018489","000339F",1283112,1283312
"5253","augustus_masked-000339F-processed-gene-5.5","LASC018490","LASC018490","LASC018490","000339F",1283889,1284104
"5254","maker-000339F-est_gff_StringTie-gene-6.1","dyrk4","LASC018491","dyrk4","000339F",1313550,1411344
"5255","maker-000339F-est_gff_StringTie-gene-6.0","slc46a1_5","LASC018492","slc46a1-5","000339F",1460238,1538675
"5256","maker-000339F-est_gff_StringTie-gene-6.2","naa35","LASC018493","naa35","000339F",1541383,1577235
"5257","maker-000339F-exonerate_protein2genome-gene-6.3","gskip","LASC018494","gskip","000339F",1581004,1581351
"5258","maker-000339F-est_gff_StringTie-gene-7.0","pde2a_2","LASC018495","pde2a-2","000339F",1607333,1836749
"5259","maker-000339F-est_gff_StringTie-gene-8.3","pigv","LASC018496","pigv","000339F",1846152,1856568
"5260","evm-000339F-processed-gene-8.35","trir","LASC018497","trir","000339F",1856784,1866957
"5261","evm-000339F-processed-gene-8.33","atp6v0b","LASC018498","atp6v0b","000339F",1870620,1889994
"5262","maker-000339F-exonerate_protein2genome-gene-8.7","mterf3","LASC018499","mterf3","000339F",1890335,1898934
"5263","maker-000339F-augustus-gene-8.2","polr1d","LASC018500","polr1d","000339F",1902194,1910233
"5264","maker-000339F-exonerate_protein2genome-gene-8.9","dtymk","LASC018501","dtymk","000339F",1911806,1935535
"5265","evm-000339F-processed-gene-8.31","lgals4","LASC018502","lgals4","000339F",1967084,1995408
"5266","evm-000339F-processed-gene-8.34","LASC018503","LASC018503","LASC018503","000339F",2223276,2262342
"5267","maker-000648F-est_gff_StringTie-gene-0.2","dnmt","LASC022330","dnmt","000648F",5696,97636
"5268","maker-000648F-exonerate_protein2genome-gene-0.1","znf84_znf235_2","LASC022331","znf84-znf235-2","000648F",110338,138401
"5269","maker-000648F-est_gff_StringTie-gene-0.4","spop-b_spop","LASC022332","spop-b-spop","000648F",138546,155512
"5270","maker-000648F-est_gff_StringTie-gene-0.3","LASC022333","LASC022333","LASC022333","000648F",149857,151201
"5271","maker-000648F-augustus-gene-0.30","LASC022334","LASC022334","LASC022334","000648F",229538,246000
"5272","augustus_masked-000705F-processed-gene-0.0","LASC022454","LASC022454","LASC022454","000705F",8744,9166
"5273","maker-000594F-est_gff_StringTie-gene-0.0","LASC022124","LASC022124","LASC022124","000594F",2044,2578
"5274","maker-000594F-est_gff_StringTie-gene-0.1","zig-8_6","LASC022125","zig-8-6","000594F",33526,174509
"5275","maker-000464F-est_gff_StringTie-gene-0.1","LASC020786","LASC020786","LASC020786","000464F",16188,89447
"5276","maker-000464F-est_gff_StringTie-gene-0.0","LASC020787","LASC020787","LASC020787","000464F",131120,149302
"5277","maker-000464F-augustus-gene-1.0","LASC020788","LASC020788","LASC020788","000464F",138486,149405
"5278","maker-000464F-est_gff_StringTie-gene-1.0","LASC020789","LASC020789","LASC020789","000464F",172929,236951
"5279","maker-000464F-est_gff_StringTie-gene-1.1","dek","LASC020790","dek","000464F",240310,295941
"5280","maker-000464F-est_gff_StringTie-gene-1.2","ssr4","LASC020791","ssr4","000464F",316150,330702
"5281","maker-000464F-est_gff_StringTie-gene-3.2","LASC020792","LASC020792","LASC020792","000464F",360606,684076
"5282","maker-000464F-exonerate_protein2genome-gene-3.9","mlx","LASC020793","mlx","000464F",742036,792536
"5283","maker-000464F-exonerate_protein2genome-gene-3.8","tspan31_tspan13","LASC020794","tspan31-tspan13","000464F",792782,819860
"5284","maker-000464F-est_gff_StringTie-gene-3.4","LASC020795","LASC020795","LASC020795","000464F",838029,929139
"5285","maker-000464F-augustus-gene-3.1","haspin_4","LASC020796","haspin-4","000464F",946727,1031723
"5286","maker-000464F-est_gff_StringTie-gene-3.5","LASC020797","LASC020797","LASC020797","000464F",1026187,1026705
"5287","maker-000464F-est_gff_StringTie-gene-3.6","clvs1","LASC020798","clvs1","000464F",1040856,1079944
"5288","maker-000464F-est_gff_StringTie-gene-3.1","LASC020799","LASC020799","LASC020799","000464F",1064443,1069226
"5289","maker-000464F-est_gff_StringTie-gene-3.7","rlbp1_5","LASC020800","rlbp1-5","000464F",1089942,1118174
"5290","maker-000886F-est_gff_StringTie-gene-0.0","LASC022638","LASC022638","LASC022638","000886F",8789,17612
"5291","maker-000886F-est_gff_StringTie-gene-0.1","LASC022639","LASC022639","LASC022639","000886F",36591,56636
"5292","evm-000886F-processed-gene-0.2","LASC022640","LASC022640","LASC022640","000886F",80621,90413
"5293","maker-000609F-est_gff_StringTie-gene-0.0","bmt2","LASC022174","bmt2","000609F",1402,62036
"5294","maker-000609F-est_gff_StringTie-gene-0.1","LASC022175","LASC022175","LASC022175","000609F",82470,155780
"5295","maker-000609F-est_gff_StringTie-gene-0.2","LASC022176","LASC022176","LASC022176","000609F",164697,172210
"5296","maker-000609F-est_gff_StringTie-gene-0.3","eloa","LASC022177","eloa","000609F",177848,258044
"5297","maker-000609F-est_gff_StringTie-gene-0.4","slc18b1","LASC022178","slc18b1","000609F",272683,404455
"5298","maker-000479F-est_gff_StringTie-gene-0.1","rdr1_4","LASC020940","rdr1-4","000479F",9892,68892
"5299","maker-000479F-est_gff_StringTie-gene-0.2","rab11a_2","LASC020941","rab11a-2","000479F",71501,88068
"5300","maker-000479F-exonerate_protein2genome-gene-0.0","app","LASC020942","app","000479F",102318,131886
"5301","maker-000479F-est_gff_StringTie-gene-0.4","LASC020943","LASC020943","LASC020943","000479F",136519,138183
"5302","maker-000479F-est_gff_StringTie-gene-1.0","nusap1","LASC020944","nusap1","000479F",144976,194879
"5303","maker-000479F-est_gff_StringTie-gene-1.1","gns","LASC020945","gns","000479F",277695,307945
"5304","maker-000479F-exonerate_protein2genome-gene-1.3","polr3k","LASC020946","polr3k","000479F",310880,311200
"5305","maker-000479F-exonerate_protein2genome-gene-1.4","ppn_spint2_wfikkn2_ambp","LASC020947","ppn-spint2-wfikkn2-ambp","000479F",342021,372386
"5306","maker-000479F-augustus-gene-2.5","LASC020948","LASC020948","LASC020948","000479F",388524,406575
"5307","evm-000479F-processed-gene-2.4","LASC020949","LASC020949","LASC020949","000479F",414222,418129
"5308","evm-000479F-processed-gene-2.2","LASC020950","LASC020950","LASC020950","000479F",425101,437883
"5309","augustus_masked-000479F-processed-gene-2.17","LASC020951","LASC020951","LASC020951","000479F",441932,467911
"5310","maker-000479F-augustus-gene-2.8","LASC020952","LASC020952","LASC020952","000479F",472435,489677
"5311","evm-000479F-processed-gene-2.3","ppn_2","LASC020953","ppn-2","000479F",505091,516272
"5312","evm-000479F-processed-gene-2.1","ppn_3","LASC020954","ppn-3","000479F",531373,544493
"5313","augustus_masked-000479F-processed-gene-2.23","h2","LASC020955","h2","000479F",548190,576864
"5314","maker-000479F-exonerate_protein2genome-gene-3.19","LASC020956","LASC020956","LASC020956","000479F",611003,625386
"5315","maker-000479F-est_gff_StringTie-gene-3.6","LASC020957","LASC020957","LASC020957","000479F",655847,678733
"5316","maker-000479F-est_gff_StringTie-gene-3.7","LASC020958","LASC020958","LASC020958","000479F",693107,702770
"5317","maker-000479F-est_gff_StringTie-gene-3.8","LASC020959","LASC020959","LASC020959","000479F",732418,783441
"5318","maker-000479F-est_gff_StringTie-gene-3.9","LASC020960","LASC020960","LASC020960","000479F",795636,810116
"5319","maker-000479F-exonerate_protein2genome-gene-3.20","LASC020961","LASC020961","LASC020961","000479F",811460,822659
"5320","maker-000479F-est_gff_StringTie-gene-3.11","LASC020962","LASC020962","LASC020962","000479F",823246,840380
"5321","maker-000479F-est_gff_StringTie-gene-3.12","LASC020963","LASC020963","LASC020963","000479F",847473,856225
"5322","maker-000479F-est_gff_StringTie-gene-3.13","LASC020964","LASC020964","LASC020964","000479F",866911,886255
"5323","maker-000479F-est_gff_StringTie-gene-3.4","LASC020965","LASC020965","LASC020965","000479F",872918,874386
"5324","maker-000479F-est_gff_StringTie-gene-3.14","LASC020966","LASC020966","LASC020966","000479F",906870,918810
"5325","maker-000479F-est_gff_StringTie-gene-3.15","LASC020967","LASC020967","LASC020967","000479F",923728,932996
"5326","maker-000479F-est_gff_StringTie-gene-3.16","LASC020968","LASC020968","LASC020968","000479F",947178,1019540
"5327","maker-000479F-exonerate_protein2genome-gene-3.21","LASC020969","LASC020969","LASC020969","000479F",1033115,1033318
"5328","maker-000479F-est_gff_StringTie-gene-3.5","LASC020970","LASC020970","LASC020970","000479F",1060334,1063527
"5329","maker-000479F-est_gff_StringTie-gene-3.17","LASC020971","LASC020971","LASC020971","000479F",1060334,1066824
"5330","maker-001569F-est_gff_StringTie-gene-0.0","LASC022827","LASC022827","LASC022827","001569F",10942,31276
"5331","maker-000768F-exonerate_protein2genome-gene-0.0","LASC022527","LASC022527","LASC022527","000768F",53380,53712
"5332","maker-000461F-est_gff_StringTie-gene-1.0","LASC020732","LASC020732","LASC020732","000461F",122633,201075
"5333","maker-000461F-est_gff_StringTie-gene-1.1","LASC020733","LASC020733","LASC020733","000461F",203146,335292
"5334","maker-000461F-est_gff_StringTie-gene-1.2","glra1","LASC020734","glra1","000461F",342149,370217
"5335","maker-000461F-augustus-gene-2.16","sdr16c5","LASC020735","sdr16c5","000461F",394655,419222
"5336","maker-000461F-augustus-gene-2.17","slc25a10","LASC020736","slc25a10","000461F",488346,515937
"5337","maker-000461F-exonerate_protein2genome-gene-2.4","polr2d","LASC020737","polr2d","000461F",575679,576107
"5338","evm-000461F-processed-gene-2.18","commd10","LASC020738","commd10","000461F",576492,591271
"5339","evm-000461F-processed-gene-3.8","LASC020739","LASC020739","LASC020739","000461F",591891,600294
"5340","maker-000461F-augustus-gene-3.11","LASC020740","LASC020740","LASC020740","000461F",633930,634056
"5341","evm-000461F-processed-gene-3.9","LASC020741","LASC020741","LASC020741","000461F",702872,703047
"5342","maker-000461F-augustus-gene-3.10","harbi1_13","LASC020742","harbi1-13","000461F",722214,738926
"5343","maker-000461F-exonerate_protein2genome-gene-3.0","znf84_znf850_znf845_znf91_znf208_znf836_zfp26","LASC020743","znf84-znf850-znf845-znf91-znf208-znf836-zfp26","000461F",724576,826303
"5344","maker-000461F-exonerate_protein2genome-gene-4.5","znf271_2","LASC020744","znf271-2","000461F",784826,785947
"5345","evm-000461F-processed-gene-4.14","LASC020745","LASC020745","LASC020745","000461F",811639,818753
"5346","maker-000461F-est_gff_StringTie-gene-4.2","znf300_3","LASC020746","znf300-3","000461F",837936,866568
"5347","maker-000461F-augustus-gene-4.10","LASC020747","LASC020747","LASC020747","000461F",889413,891973
"5348","maker-000461F-est_gff_StringTie-gene-4.3","LASC020748","LASC020748","LASC020748","000461F",923575,940277
"5349","maker-000461F-est_gff_StringTie-gene-4.4","LASC020749","LASC020749","LASC020749","000461F",971479,983941
"5350","maker-000060F-augustus-gene-1.1","ilrun","LASC006420","ilrun","000060F",141228,167454
"5351","maker-000060F-est_gff_StringTie-gene-1.0","LASC006421","LASC006421","LASC006421","000060F",168443,177803
"5352","maker-000060F-est_gff_StringTie-gene-1.2","wdr45","LASC006422","wdr45","000060F",194125,219273
"5353","maker-000060F-augustus-gene-1.3","LASC006423","LASC006423","LASC006423","000060F",270577,277895
"5354","evm-000060F-processed-gene-3.1","trhr_2","LASC006424","trhr-2","000060F",433145,703157
"5355","maker-000060F-est_gff_StringTie-gene-4.0","LASC006425","LASC006425","LASC006425","000060F",1072645,1103351
"5356","maker-000060F-est_gff_StringTie-gene-6.1","LASC006426","LASC006426","LASC006426","000060F",1410523,1411965
"5357","maker-000060F-est_gff_StringTie-gene-7.1","ush_2","LASC006427","ush-2","000060F",1508103,1671143
"5358","maker-000060F-est_gff_StringTie-gene-6.0","LASC006428","LASC006428","LASC006428","000060F",1561511,1573737
"5359","maker-000060F-est_gff_StringTie-gene-7.2","LASC006429","LASC006429","LASC006429","000060F",1692625,1719865
"5360","maker-000060F-est_gff_StringTie-gene-7.0","ipo4","LASC006430","ipo4","000060F",1764079,1813240
"5361","maker-000060F-augustus-gene-8.4","vat1l_2","LASC006431","vat1l-2","000060F",1821960,1857621
"5362","maker-000060F-augustus-gene-8.5","tat","LASC006432","tat","000060F",1915647,1964285
"5363","maker-000060F-est_gff_StringTie-gene-9.0","runx1t1_cbfa2t3","LASC006433","runx1t1-cbfa2t3","000060F",2078092,2155466
"5364","maker-000060F-est_gff_StringTie-gene-10.2","cdc28_rnf31","LASC006434","cdc28-rnf31","000060F",2157947,2354449
"5365","maker-000060F-est_gff_StringTie-gene-9.1","LASC006435","LASC006435","LASC006435","000060F",2262289,2318368
"5366","maker-000060F-est_gff_StringTie-gene-10.0","at4g18465","LASC006436","at4g18465","000060F",2354841,2416313
"5367","maker-000060F-est_gff_StringTie-gene-11.2","gse1_2","LASC006437","gse1-2","000060F",2416911,2587345
"5368","augustus_masked-000060F-processed-gene-10.4","accoas_2","LASC006438","accoas-2","000060F",2473627,2473887
"5369","augustus_masked-000060F-processed-gene-10.5","acsa","LASC006439","acsa","000060F",2474248,2474475
"5370","maker-000060F-est_gff_StringTie-gene-10.1","LASC006440","LASC006440","LASC006440","000060F",2532164,2537422
"5371","maker-000060F-est_gff_StringTie-gene-11.3","liat1","LASC006441","liat1","000060F",2616869,2668723
"5372","maker-000060F-est_gff_StringTie-gene-11.4","btbd17","LASC006442","btbd17","000060F",2672933,2690732
"5373","maker-000060F-est_gff_StringTie-gene-11.0","LASC006443","LASC006443","LASC006443","000060F",2691764,2695214
"5374","maker-000060F-est_gff_StringTie-gene-11.1","fs(1)h","LASC006444","fs(1)h","000060F",2725366,2791891
"5375","maker-000060F-est_gff_StringTie-gene-12.1","aftph","LASC006445","aftph","000060F",2830409,2862760
"5376","evm-000060F-processed-gene-12.3","hsf1","LASC006446","hsf1","000060F",2904982,3006955
"5377","maker-000060F-exonerate_protein2genome-gene-13.1","bop1","LASC006447","bop1","000060F",3007540,3044827
"5378","evm-000060F-processed-gene-14.1","alpl","LASC006448","alpl","000060F",3205921,3388393
"5379","evm-000060F-processed-gene-15.7","dnajc17","LASC006449","dnajc17","000060F",3679063,3704860
"5380","maker-000060F-est_gff_StringTie-gene-16.0","LASC006450","LASC006450","LASC006450","000060F",3713203,3764580
"5381","maker-000060F-est_gff_StringTie-gene-17.0","cdc42bpa_2","LASC006451","cdc42bpa-2","000060F",3826979,4221400
"5382","maker-000060F-est_gff_StringTie-gene-18.1","mlh3","LASC006452","mlh3","000060F",4231237,4261085
"5383","maker-000060F-est_gff_StringTie-gene-18.0","zc2hc1c","LASC006453","zc2hc1c","000060F",4261529,4339756
"5384","maker-000060F-augustus-gene-19.0","LASC006454","LASC006454","LASC006454","000060F",4498028,4524677
"5385","maker-000060F-est_gff_StringTie-gene-22.0","LASC006455","LASC006455","LASC006455","000060F",4603241,5201286
"5386","maker-000060F-est_gff_StringTie-gene-20.0","LASC006456","LASC006456","LASC006456","000060F",4904791,4955748
